iter	Passed	Remaining
311	3629	8002
312	3641	7992
313	3652	7980
314	3661	7963
315	3671	7947
316	3681	7933
317	3695	7926
318	3707	7914
319	3717	7898
320	3726	7882
321	3738	7870
322	3749	7859
323	3759	7843
324	3770	7831
325	3780	7815
326	3790	7800
327	3799	7785
328	3810	7770
329	3822	7760
330	3834	7749
331	3845	7736
332	3854	7721
333	3865	7707
334	3877	7696
335	3889	7687
336	3899	7671
337	3909	7657
338	3919	7642
339	3929	7628
340	3940	7614
341	3950	7599
342	3960	7586
343	3971	7573
344	3983	7562
345	3993	7548
346	4003	7534
347	4013	7519
348	4025	7508
349	4034	7493
350	4046	7481
351	4056	7468
352	4067	7454
353	4077	7440
354	4088	7427
355	4098	7414
356	4109	7401
357	4118	7386
358	4128	7371
359	4139	7358
360	4149	7345
361	4160	7332
362	4171	7319
363	4181	7306
364	4192	7294
365	4202	7279
366	4214	7268
367	4225	7257
368	4235	7243
369	4245	7228
370	4255	7215
371	4264	7199
372	4274	7185
373	4284	7170
374	4294	7157
375	4305	7144
376	4314	7130
377	4326	7120
378	4337	7107
379	4348	7094
380	4359	7082
381	4369	7068
382	4379	7055
383	4390	7042
384	4402	7031
385	4412	7018
386	4421	7004
387	4432	6991
388	4444	6980
389	4454	6967
390	4466	6957
391	4477	6944
392	4487	6931
393	4497	6917
394	4508	6904
395	4519	6892
396	4528	6878
397	4539	6866
398	4548	6851
399	4559	6838
400	4570	6827
401	4580	6814
402	4589	6799
403	4599	6785
404	4609	6772
405	4619	6758
406	4629	6744
407	4641	6734
408	4653	6723
409	4662	6709
410	4673	6697
411	4685	6686
412	4695	6673
413	4705	6660
414	4715	6647
415	4726	6634
416	4735	6621
417	4745	6607
418	4754	6593
419	4765	6580
420	4775	6567
421	4785	6553
422	4795	6541
423	4806	6529
424	4816	6516
425	4826	6503
426	4835	6489
427	4846	6476
428	4857	6465
429	4867	6452
430	4877	6438
431	4887	6425
432	4897	6412
433	4906	6399
434	4916	6385
435	4926	6372
436	4938	6362
437	4949	6350
438	4958	6336
439	4969	6325
440	4980	6313
441	4990	6300
442	5000	6286
443	5011	6275
444	5022	6263
445	5033	6251
446	5044	6241
447	5054	6228
448	5066	6217
449	5076	6205
450	5086	6191
451	5096	6178
452	5106	6165
453	5117	6153
454	5128	6142
455	5140	6132
456	5150	6119
457	5159	6105
458	5169	6092
459	5179	6079
460	5189	6067
461	5199	6054
462	5208	6040
463	5217	6027
464	5227	6014
465	5240	6005
466	5250	5992
467	5260	5980
468	5270	5967
469	5280	5954
470	5290	5942
471	5302	5931
472	5313	5920
473	5324	5908
474	5335	5896
475	5346	5885
476	5357	5873
477	5369	5863
478	5379	5850
479	5389	5838
480	5401	5827
481	5411	5815
482	5421	5803
483	5431	5790
484	5443	5779
485	5452	5766
486	5465	5756
487	5475	5744
488	5485	5731
489	5495	5719
490	5505	5707
491	5514	5694
492	5524	5681
493	5534	5668
494	5545	5657
495	5557	5647
496	5567	5634
497	5577	5622
498	5587	5610
499	5598	5598
500	5608	5585
501	5618	5573
502	5628	5561
503	5639	5550
504	5649	5537
505	5658	5524
506	5668	5511
507	5679	5500
508	5689	5488
509	5699	5475
510	5707	5462
511	5718	5450
512	5730	5440
513	5739	5426
514	5748	5413
515	5758	5401
516	5768	5389
517	5779	5377
518	5789	5365
519	5798	5352
520	5809	5340
521	5818	5328
522	5829	5316
523	5839	5304
524	5849	5292
525	5861	5281
526	5872	5270
527	5882	5258
528	5892	5246
529	5903	5235
530	5913	5223
531	5923	5210
532	5933	5198
533	5941	5185
534	5951	5172
535	5961	5161
536	5971	5148
537	5980	5135
538	5991	5124
539	6000	5111
540	6010	5099
541	6021	5087
542	6030	5075
543	6040	5062
544	6050	5051
545	6060	5039
546	6070	5027
547	6081	5015
548	6091	5004
549	6102	4992
550	6111	4980
551	6120	4967
552	6130	4955
553	6142	4944
554	6154	4934
555	6166	4924
556	6179	4914
557	6189	4903
558	6201	4892
559	6212	4881
560	6226	4872
561	6242	4865
562	6256	4856
563	6266	4844
564	6278	4833
565	6290	4823
566	6302	4813
567	6315	4802
568	6324	4790
569	6335	4779
570	6345	4767
571	6355	4755
572	6364	4742
573	6374	4731
574	6384	4719
575	6394	4707
576	6407	4697
577	6417	4685
578	6427	4673
579	6438	4662
580	6448	4650
581	6459	4639
582	6470	4627
583	6480	4616
584	6490	4604
585	6501	4593
586	6512	4582
587	6522	4570
588	6533	4558
589	6543	4547
590	6553	4535
591	6565	4524
592	6577	4514
593	6587	4502
594	6597	4490
595	6607	4478
596	6618	4467
597	6628	4456
598	6638	4444
599	6647	4431
600	6659	4421
601	6669	4409
602	6680	4398
603	6692	4387
604	6702	4376
605	6712	4364
606	6722	4352
607	6732	4340
608	6742	4329
609	6753	4317
610	6762	4305
611	6773	4294
612	6783	4282
613	6794	4271
614	6804	4259
615	6815	4248
616	6826	4237
617	6837	4226
618	6848	4215
619	6859	4204
620	6868	4191
621	6879	4180
622	6889	4168
623	6899	4157
624	6909	4145
625	6919	4134
626	6929	4122
627	6940	4110
628	6950	4099
629	6960	4087
630	6969	4075
631	6979	4063
632	6989	4052
633	6999	4040
634	7008	4028
635	7018	4016
636	7028	4005
637	7038	3993
638	7048	3981
639	7059	3970
640	7070	3960
641	7083	3949
642	7095	3939
643	7105	3927
644	7116	3916
645	7125	3904
646	7134	3892
647	7145	3881
648	7155	3869
649	7166	3858
650	7177	3848
651	7188	3836
652	7198	3825
653	7209	3814
654	7219	3802
655	7229	3791
656	7239	3779
657	7249	3768
658	7259	3756
659	7268	3744
660	7279	3733
661	7288	3721
662	7299	3710
663	7310	3699
664	7322	3688
665	7331	3676
666	7341	3665
667	7351	3653
668	7361	3642
669	7372	3631
670	7383	3620
671	7392	3608
672	7402	3596
673	7413	3585
674	7422	3573
675	7434	3563
676	7444	3551
677	7455	3540
678	7466	3529
679	7476	3518
680	7488	3507
681	7498	3496
682	7508	3485
683	7519	3473
684	7529	3462
685	7539	3450
686	7549	3439
687	7559	3428
688	7570	3417
689	7579	3405
690	7589	3393
691	7598	3382
692	7611	3372
693	7622	3360
694	7631	3348
695	7640	3337
696	7650	3326
697	7663	3315
698	7676	3305
699	7687	3294
700	7697	3283
701	7707	3271
702	7717	3260
703	7726	3248
704	7736	3237
705	7746	3225
706	7757	3214
707	7767	3203
708	7779	3193
709	7789	3181
710	7799	3170
711	7809	3159
712	7820	3147
713	7830	3136
714	7842	3125
715	7852	3114
716	7863	3103
717	7874	3092
718	7885	3081
719	7895	3070
720	7904	3058
721	7914	3047
722	7924	3035
723	7933	3024
724	7942	3012
725	7953	3001
726	7964	2990
727	7974	2979
728	7984	2968
729	7994	2956
730	8004	2945
731	8013	2933
732	8023	2922
733	8034	2911
734	8045	2900
735	8055	2889
736	8065	2878
737	8075	2866
738	8085	2855
739	8096	2844
740	8106	2833
741	8119	2823
742	8129	2811
743	8140	2801
744	8151	2790
745	8161	2778
746	8172	2767
747	8182	2756
748	8192	2745
749	8202	2734
750	8212	2722
751	8222	2711
752	8232	2700
753	8243	2689
754	8253	2678
755	8263	2666
756	8273	2655
757	8283	2644
758	8294	2633
759	8304	2622
760	8314	2611
761	8323	2599
762	8333	2588
763	8344	2577
764	8354	2566
765	8365	2555
766	8375	2544
767	8385	2533
768	8395	2521
769	8406	2511
770	8417	2500
771	8427	2489
772	8438	2477
773	8449	2467
774	8461	2456
775	8472	2445
776	8483	2434
777	8493	2423
778	8506	2413
779	8516	2402
780	8527	2391
781	8536	2379
782	8546	2368
783	8555	2357
784	8566	2346
785	8576	2334
786	8585	2323
787	8594	2312
788	8604	2301
789	8616	2290
790	8626	2279
791	8637	2268
792	8646	2257
793	8657	2246
794	8667	2235
795	8678	2224
796	8688	2212
797	8697	2201
798	8707	2190
799	8717	2179
800	8727	2168
801	8737	2157
802	8746	2145
803	8759	2135
804	8770	2124
805	8782	2113
806	8793	2102
807	8802	2091
808	8812	2080
809	8822	2069
810	8832	2058
811	8842	2047
812	8853	2036
813	8864	2025
814	8874	2014
815	8885	2003
816	8894	1992
817	8905	1981
818	8914	1970
819	8925	1959
820	8935	1948
821	8945	1937
822	8955	1926
823	8965	1914
824	8977	1904
825	8988	1893
826	8999	1882
827	9009	1871
828	9019	1860
829	9029	1849
830	9039	1838
831	9049	1827
832	9060	1816
833	9070	1805
834	9080	1794
835	9089	1783
836	9101	1772
837	9111	1761
838	9121	1750
839	9132	1739
840	9142	1728
841	9153	1717
842	9163	1706
843	9173	1695
844	9184	1684
845	9194	1673
846	9203	1662
847	9212	1651
848	9222	1640
849	9233	1629
850	9242	1618
851	9253	1607
852	9262	1596
853	9274	1585
854	9284	1574
855	9294	1563
856	9304	1552
857	9313	1541
858	9324	1530
859	9336	1519
860	9347	1508
861	9356	1497
862	9366	1486
863	9375	1475
864	9385	1464
865	9396	1453
866	9407	1443
867	9418	1432
868	9429	1421
869	9439	1410
870	9449	1399
871	9460	1388
872	9472	1377
873	9482	1367
874	9491	1355
875	9501	1345
876	9512	1334
877	9527	1323
878	9538	1312
879	9551	1302
880	9565	1292
881	9577	1281
882	9589	1270
883	9602	1259
884	9621	1250
885	9632	1239
886	9646	1228
887	9656	1217
888	9669	1207
889	9680	1196
890	9692	1185
891	9704	1175
892	9717	1164
893	9730	1153
894	9741	1142
895	9752	1131
896	9764	1121
897	9775	1110
898	9787	1099
899	9798	1088
900	9809	1077
901	9820	1066
902	9832	1056
903	9842	1045
904	9854	1034
905	9865	1023
906	9876	1012
907	9886	1001
908	9897	990
909	9908	979
910	9918	969
911	9930	958
912	9941	947
913	9953	936
914	9964	925
915	9974	914
916	9983	903
917	9995	892
918	10006	881
919	10017	871
920	10027	860
921	10037	849
922	10048	838
923	10058	827
924	10070	816
925	10081	805
926	10091	794
927	10101	783
928	10112	772
929	10122	761
930	10132	750
931	10142	739
932	10151	728
933	10161	718
934	10173	707
935	10185	696
936	10196	685
937	10204	674
938	10214	663
939	10223	652
940	10233	641
941	10242	630
942	10251	619
943	10261	608
944	10270	597
945	10280	586
946	10290	575
947	10300	565
948	10309	554
949	10319	543
950	10331	532
951	10340	521
952	10350	510
953	10360	499
954	10372	488
955	10382	477
956	10392	466
957	10402	456
958	10412	445
959	10422	434
960	10432	423
961	10443	412
962	10453	401
963	10462	390
964	10472	379
965	10481	368
966	10492	358
967	10506	347
968	10518	336
969	10531	325
970	10544	314
971	10558	304
972	10571	293
973	10585	282
974	10605	271
975	10621	261
976	10640	250
977	10652	239
978	10666	228
979	10679	217
980	10693	207
981	10704	196
982	10718	185
983	10730	174
984	10741	163
985	10753	152
986	10763	141
987	10775	130
988	10787	119
989	10799	109
990	10812	98
991	10823	87
992	10834	76
993	10845	65
994	10855	54
995	10865	43
996	10876	32
997	10887	21
998	10898	10
999	10909	0
